CSI,Symbol,Exchange,Futures Category,Name,Close Field Type,Exch Symbol,Option Start Date,Futures Start Date,Cash Start Date,Last Date,Last Close,% Change,Avg Volume (Year),CVF,Opt CVF,Opt Divide,Opt Div+,Units,Contract Size,Point Value,Active Months,MinTick,Currency,Market Type,Vol/OI Current,2Char Symbol,Metastock Short Name,Trading Hours (Local),Current Expiring Dydm 1,Current Expiring Date 1,Current Expiring Dydm 2,Current Expiring Date 2,
1,IB',CBT,Food & Fiber,Broilers-Iced (INACT)-CBT,Settlement,,,19690819,19690819,19810122,,,28,2,,,,cents/lb,30000 lbs,$3.00,VVVVVVVVVVVV,1,USD,Fut,Lag,,IcedBroiler,,,,,,
2,LC,CME,Livestock & Meats,Live Cattle (combined)-CME,Settlement,L2,19841030,19641130,19660209,20220630,,,56139,2,2,2,*1,cents/lb,40000 lbs,$4.00,SVSVSVSVIVSV,2.5,USD,Fut,Lag,,LvCattlF+E,08:30 to 13:05,202206,20220630,202208,20220831,
3,CC,ICE-US,Food & Fiber,Cocoa (RTH),Settlement,CC,19860313,19651230,19651230,20220630,,,47424,0,0,1,*1,USD/tonne,10 tonnes,$10.00,IIVIVIVIVIIV,1,USD,Fut,Lag,,Cocoa,04:45 to 13:30,202205,20220513,202207,20220714,
4,LH,CME,Livestock & Meats,Lean Hogs (combined)-CME,Settlement,LH,19850201,19660228,19660301,20220630,,,45097,2,2,1,0,cents/lb,40000 lbs,$4.00,IVIVVVVVIVIV,2.5,USD,Fut,Lag,,LeanHogsF+E,08:30: to 13:05,202205,20220513,202206,20220614,
5,PB,CME,Livestock & Meats,Pork Bellies (RTH)-CME,Settlement,EP,19861003,19630920,19660516,20220630,,,0,2,2,1,0,cents/lb,40000 lbs,$4.00,IVVIVIVVIIII,2.5,USD,Fut,Lag,,PorkBellies,10:10 to 14:00,,,,,
6,CU9',COMEX,Metals,Copper-(INACTIVE)-COMEX,Settlement,,19860407,19660103,19740605,19891227,,,8085,2,2,1,0,cents/lb,25000 lbs,$2.50,SSVSVSVSVSSV,1,USD,Fut,Lag,,CopperCMX,9:50 to 14:00,,,,,
7,CT,ICE-US,Food & Fiber,Cotton #2 (RTH),Settlement,CT,19841031,19670322,19730402,20220630,,,32757,2,2,2,0,cents/lb,50000 lbs,$5.00,IIVIVIVIIVIV,1,USD,Fut,Lag,,Cotton #2,21:00 to 14:20,202205,20220506,202207,20220707,
8,HG,COMEX,Metals,Copper (RTH),Settlement,HG,19880729,19660103,19740605,20220630,,,857,2,2,1,0,cents/lb,25000 lbs,$2.50,SSVSVSVSVVSV,5,USD,Fut,Lag,,CpperHG-Flr,18:00 to 17:00,202205,20220526,202206,20220628,
9,C,CBT,Grains & Oilseeds,Corn (RTH)-CBT,Settlement,C,19850227,19460102,19590701,20220630,,,13460,-1,-1,1,0,cents/bu,5000 bu,$6.25,SIVIVIVIVISV,2,USD,Fut,Lag,,Corn-Flr,19:00 to 13:20,202205,20220513,202207,20220714,
10,KC,ICE-US,Food & Fiber,Coffee (RTH),Settlement,KC,19861003,19720816,19730402,20220630,,,46187,2,2,1,0,cents/lb,37500 lbs,$3.75,IIVIVIVIVIIV,5,USD,Fut,Lag,,Coffee CSCE,04:15 to 13:30,202205,20220518,202207,20220719,
11,O,CBT,Grains & Oilseeds,Oats (RTH)-CBT,Settlement,O,19900501,19470102,19700105,20220630,,,17,-1,-1,1,0,cents/bu,5000 bu,$6.25,IIVIVIVIVIIV,2,USD,Fut,Lag,,Oats-Flr,09:00 to 13:20,202205,20220513,202207,20220714,
12,OJ,ICE-US,Food & Fiber,Orange Juice (RTH),Settlement,OJ,19851219,19661026,19760109,20220630,,,1448,2,2,1,0,cents/lb,15000 lbs,$1.50,VIVIVIVIVIVI,5,USD,Fut,Lag,,OrangeJuice,08:00 to 14:00,202205,20220510,202207,20220711,
13,PL,NYMEX,Metals,Platinum (RTH)-NYMEX,Settlement,PL,19901016,19640114,19770826,20220630,,,432,1,2,1,0,USD/oz troy,50 oz troy,$5.00,VVVVVVVVVVVV,1,USD,Fut,Lag,,PlatinumNYM,18:00 to 17:00,202205,20220526,202206,20220628,
16,SI,COMEX,Metals,Silver (RTH)-COMEX,Settlement,SI,19841004,19630612,19671206,20220630,,,1214,1,1,1,0,cents/troy oz,5000 oz troy,$5,VSVSVSVSVSSV,1,USD,Fut,Lag,,SilverCOMEX,18:00 to 17:00,202205,20220526,202206,20220628,
17,S,CME,Grains & Oilseeds,Soybeans (RTH)-CBT,Settlement,S,19841031,19470707,19590701,20220630,,,10752,-1,-1,1,0,cents/bu,5000 bu,$6.25,VIVIVIVVVIVI,2,USD,Fut,Lag,,SoybnCBTFlr,19:00 to 13:20,202205,20220513,202207,20220714,
18,SM,CBT,Grains & Oilseeds,Soybean Meal (RTH)-CBT,Settlement,SM,19870219,19510829,19590701,20220630,,,3679,1,2,1,0,USD/short ton,100 short tons,$10.00,VIVIVIVVVVIV,1,USD,Fut,Lag,,SoyMlCBTFlr,19:00 to 13:20,202205,20220513,202207,20220714,
19,BO,CBT,Grains & Oilseeds,Soybean Oil (RTH)-CBT,Settlement,BO,19870219,19500717,19660523,20220630,,,2366,2,3,1,0,cents/lb,60000 lbs,$6.00,VIVIVIVVVVIV,1,USD,Fut,Lag,,SoyOlCBTFlr,19:00 to 13:20,202205,20220513,202207,20220714,
20,SB,ICE-US,Food & Fiber,Sugar #11 (World) (RTH),Settlement,SB,19821001,19651230,19651230,20220307,,,125386,2,2,0,0,cents/lb,112000 lbs,$11.20,IIVIVIVIIVII,1,USD,Fut,Lag,,Sugar #11,03:30 to 13:00,202205,20220429,202207,20220630,
21,W,CBT,Grains & Oilseeds,Wheat (RTH)-CBT,Settlement,W,19861117,19220103,19660516,20220308,,,1009,-1,-1,1,0,cents/bu,5000 bu,$6.25,IIVIVIVIVIIV,2,USD,Fut,Lag,,Wheat-Flr,09:00 to 13:20,202205,20220513,202207,20220714,
22,KW,CBT,Grains & Oilseeds,Kansas City HRW Wheat (RTH)-KCBT,Settlement,KW,19841101,19660516,19730402,20220308,,,1337,-1,-1,1,0,cents/bu,5000 bu,$6.25,IIVIVIVIVIIV,2,USD,Fut,Lag,,Wheat KC,10:30 to 14:15,202205,20220513,202207,20220714,
23,MP,CME,FOREX,Mexican Peso (combined)-CME,Settlement,MP,19950425,19950425,19950425,20220308,,,53430,5,2,1,0,USD/MXN,MXN 500000,$5,SIVSSVISVISV,1,USD,FER,Lag,,Mex PesoF+E,17:00 - 16:00,202205,20220516,202206,20220613,
24,DM',CME,FOREX,Deutsche Mark-(INACTIVE)-(combined)-CME,Settlement,DM,19840124,19720516,19720516,20020319,,,24,4,2,1,0,USD/DEM,DEM 125000,$12.50,IIVIIVIIVIIV,1,USD,FER,Lag,,DMarkCMEF+E,14:30 to 14:00,,,,,
25,SF,CME,FOREX,Swiss Franc (combined)-CME,Settlement,CHF,19850226,19720516,19720523,20220308,,,24515,5,3,1,0,USD/CHF,CHF 125000,$1.25,IIVIIVIIVIIV,5,USD,FER,Lag,,SwFrCMEF+E,17:00 - 16:00,202206,20220613,202209,20220919,
26,BP,CME,FOREX,British Pound (combined)-CME,Settlement,NB,19850226,19700101,19700101,20220308,,,105684,4,3,1,0,USD/GBP,GBP 62500,$6.25,IIVIIVIIVIIV,1,USD,FER,Lag,,GBP-CMEF+E,17:00 - 16:00,202205,20220516,202206,20220613,
27,LB,CME,Food & Fiber,Lumber (combined)-CME,Settlement,LB,19870529,19691001,19770826,20220308,,,419,1,2,1,0,USD/1000 board ft,110000 board ft,USD 11.00,VIVIVIVIVIVI,1,USD,Fut,Lag,,LumberCombi,09:00 to 16:00,202205,20220513,202207,20220715,
28,ZG,ICE-US,Metals,100oz Gold-ICE,Settlement,ZG,,20041006,,20220307,,,0,1,,,,USD/oz,100 oz,$10.00,VVVVVVVVVVVV,1,USD,NAF,Lag,,Gold 100oz,20:00 to 18:00,202206,20220628,202208,20220829,
29,ST',CME,Livestock & Meats,Cattle-Stocker-(INACTIVE)-CME,Settlement,ST,,19981130,19990609,20010802,,,2,2,,,,cents/lb,25000 lbs,$2.50,VVVIIIIIIVVV,5,USD,Fut,Lag,,StkerCattle,9:10 to 13:05,,,,,
30,GC,COMEX,Metals,Gold (RTH)-COMEX,Settlement,GC,19821004,19750102,19750102,20220308,,,4653,1,1,1,0,USD/oz troy,100 oz troy,$10.00,SVSVSVSVSVSV,1,USD,Fut,Lag,,GoldCMX-Flr,18:00 to 17:00,202205,20220526,202206,20220628,
33,FC,CME,Livestock & Meats,Feeder Cattle (combined)-CME,Settlement,D2,19870109,19711130,19770902,20220308,,,12461,2,2,1,0,cents/lb,50000 lbs,$5.00,VIVVVIIVVVVI,2.5,USD,Fut,Lag,,FdrCatleF+E,08:30: to 13:05,202205,20220526,202208,20220825,
34,US9',NYMEX,,Silver Coins,Unclassified,,,19790117,19790117,,,,0,1,,,,,,,IIIIIIIIIIII,,USD,Fut,Lag,,SilverCoins,,,,,,
37,ZI,ICE-US,Metals,5000oz Silver-ICE,Settlement,ZI,,20041006,,20210729,,,1,3,,,,USD/oz,5000 oz ,$5.00,VVVVVVVVVVVV,1,USD,NAF,Lag,,SilverCBT,20:00 to 18:00,202205,20220526,202207,20220727,
41,TB',CME,Govt Notes,U.S. T-Bill 3-Month (combined)-CME,Settlement,TB,19860410,19760106,19770801,,,,0,3,2,0,0,USD/bas pt,$1000000,$2.50,IIVIIVIIVIIV,5,USD,IR,Lag,,T-Bill3MF+E,7:30 to 14:00,201506,20150615,201506,20150615,
42,SE',CSCE,Food & Fiber,Sugar #14(Domestic) (RTH),Settlement,SE,,19770502,19770502,,,,256,2,,,,cents/lb,112000 lbs,$11.20,VIVIVIVIVIVI,1,USD,Fut,Lag,,Sugar #14,8:30 to 14:00,,,,,
44,US,CBT,Govt Bonds,U.S. T-Bond (combined)-CBT,Settlement,US,19821001,19770822,19871117,20201218,,,421562,-7,-9,0,/2,points,$100000,$3.125,IIVIIVIIVIIV,5,USD,Fut,Lag,,TBndCBTF+E,17:00 to 16:00,202206,20220621,202209,20220921,
45,CI9',NYCE,Food & Fiber,Cotton-Cotlook World-(INACTIVE)-NYCE,Settlement,,,19920930,19920930,,,,0,2,,,,cents/lb,50000 lbs,$5.00,VVVVVVVVVVVV,1,USD,Fut,Lag,,CotlWCotton,9:30 to 14:40,,,,,
49,LCC,ICE-EU-AGS,Food & Fiber,Cocoa-(LCE)-EURONEXT,Settlement,C,19940112,19680102,19731022,20201218,,,25545,1,1,1,0,GBP/tonne,10 tonnes,GBP 1.00,IIVIVIVIVIIV,10,GBP,Fut,Lag,QZ,Cocoa-LCE,09:30 to 16:55,202205,20220516,202207,20220714,
50,LKR',EURONEXT,Food & Fiber,Coffee-Robusta-(INACTIVE)-(LCE)-EURONEXT,Settlement,,,19680102,19681202,19920331,,,4233,1,,,,GBP/tonne,5 tonnes,GBP .5,VIVIVIVIVIVI,1,GBP,Fut,Lag,,RobusCoffee,4:45 to 12:00,,,,,
51,LWB,ICE-EU-AGS,Grains & Oilseeds,Wheat-(LCE)-EURONEXT,Settlement,T,20000817,19680102,,20201218,,,451,2,2,0,0,GBP/tonne,100 tonnes,GBP 1.00,VIVIVIVIVIVI,5,GBP,Fut,Vol,QT,Wheat-LCE,09:25 to 17:28,202205,20220523,202207,20220707,
52,LB9',EURONEXT,Grains & Oilseeds,Barley-(LCE)-(INACTIVE)-EURONEXT,Settlement,,20000817,19680102,19800910,20030523,,,17,2,2,0,0,GBP/tonne,100 tonnes,GBP 1.00,VIVIVIIIVIVI,5,GBP,Fut,Vol,QB,Barley-LCE,10:00 to 16:15,,,,,
